itemId,itemType,itemPrice,itemRating,itemOwner
3537121bfbcdeebcf9de21ee128763c2,flower,82,4.7,067e680220c54fc00abcd30d95d17766
e29a204c8364cb3a1d78a907f4c60ce9,flower,75,4.6,7ebcfb7f0e18b57a4c3a582d68478a58
408eb16a12b48bab4f0415c624ae476e,flower,1348,4,7dbf5f155d225eaee286022f07ccd2f5
95057399f04fa7545deaf6a42879d1ca,material,87,2.6,8416e5f20415a908d7dfdfa919d31d8c
b28d0e9491a52217a64f4b26353e5d62,plant,75,4.2,0a9d6068b08f744fc3ac9702da1788d7
f2ceec68ee6a8cd393520c2943eea7fa,plant,465,3.7,1c43fdc90a7790dc5dcc61fb1e5ca9c6
ebaa25eae7be0f53c2bb24ec3d15ac2c,equirement,229,4.6,f2bf20b61eab265a3be68e29230528ba
78a6a41cbd32dea188ec77e60536db03,plant,78,5,5fc773ab234ce4ae839d7b1ce21b0b41
ffbe1f63ab0ef4fa03e77eda01f4600b,cactus,20,2.2,6534d225c5976c1e43911caa68ca80c1
8c387878b382171de9bd4ad5df682fc1,flower,176,2.6,fa5fe0baccad5a5a73bbd52c0a68a49a
aa578b71cb4ad088bea3d47e36b61750,cactus,111,5,d57a7fdecc9660e260d4b1443cc7d7bd
b850c219106d8a569e3998f5304bf69a,plant,263,4.5,bd0c6804d714403061fd28d76921c166
0497fee999f3298caaff1c5b013cbbbc,seed,37,3.2,067e680220c54fc00abcd30d95d17766
1b8456f1c389fb7cc794a0c473e6b47b,material,770,4.8,634defc978d9b048c033e01fb8503647
1f8394353561f8688aef7fa8fece7e47,plant,1815,4.2,be4d9731e59c30aed72c5b1328f1398c
06b3ef53cbeffc86c8f1dad8a8e1a8a0,flower,72,4.5,f4452eff1beda573eb99b671ca74fe68
5022cf5b86add1a1cc92c0aa466366af,plant,47,4.9,6534d225c5976c1e43911caa68ca80c1
0f8a31ee82319f3a492ea7264c352f0d,flower,249,4.9,be4d9731e59c30aed72c5b1328f1398c
4d70dcbee9f817e64f52c171728e4e2a,cactus,705,4.6,7b18d93d68dea28fa28b6bbb1a21c949
20d7f8c74114e94850a9db30d9c24c68,equirement,70,3,61f7402eea5a6274f289ce1978bfbec1
9d25f503701a0fe6d95914dd4cb9a3b4,material,40,3.9,c2a93d05b44e5e913c460017824e06b9
0b6ec919b3cd1ff3f7d9c150b55ff930,material,40,4.7,0a9d6068b08f744fc3ac9702da1788d7
a09d12898316a74335203e99982f2b2f,plant,440,2.5,f4452eff1beda573eb99b671ca74fe68
793eb4b26ca531e70a29de8e605c34ef,flower,259,3.2,067e680220c54fc00abcd30d95d17766
1f6ef4d43ba3e22c40f0b23a96f4ea6b,flower,201,4,a05502e3a74cc4e09a45ac4bfd94c0c3
a21c42087060ebb846b9183e7f3be9b9,seed,379,4.7,1193f1eba0c961043f50a4394c1408bf
ff74c1ce5dc1dd5a5fe5c3bba79f9f1d,plant,364,4.9,a05502e3a74cc4e09a45ac4bfd94c0c3
a842f66580058c4b933d4b75b29f589a,plant,57,3.5,7b18d93d68dea28fa28b6bbb1a21c949
fb61c043c2e2fb46fe514c94966bfe0f,flower,41,4.7,697692f3728254ab0c2a21948a77158c
3975fb60e620bd1defb4b5a3741b9c44,flower,406,2.7,1193f1eba0c961043f50a4394c1408bf
4beda49f15387a8a70ddc34c91af2309,plant,26,4.6,2ce7e6fbe72da112822c6775327cb282
d3d98b0b5cef39174fdca2360767aae0,plant,323,3.8,f4452eff1beda573eb99b671ca74fe68
c76df924db9b5a4816541b9ab640105d,flower,232,2.6,f0952bec575fb48cbcfe5380b7987a2e
a71f0aa0f0244b8f1f6d1965d1f6e30e,flower,1673,5,380278b62c92fa725d3183d550da50b9
a9aa0d2e439ab46577e6cdb8fd7ce278,flower,334,3.2,2683e781b301756bb39c652412bf3410
6f1d6d447e2bd9db8d5d08407b72eed0,plant,1985,4.9,85b49c6f21d884436373cb7ed432e588
562ebbf033d424f614446afe2b709126,flower,266,4.8,fd1c6916ad0c0510152808a4178fc2b2
01c3bf6c2345cb3e02e712f7078f8d3f,equirement,117,3,fa2a1691c37487f5cba5225056e5f21d
943f643c27d3b5531f23950e585e762f,seed,45,4.2,fcaaf9807a9589d798da67fdbe67b880
b24973c9b12249e40441e4cc607edb1b,equirement,69,2.5,1c43fdc90a7790dc5dcc61fb1e5ca9c6
7122ebf8085a355c0dc5425f3b608298,flower,55,1.8,7dbf5f155d225eaee286022f07ccd2f5
37dd43d82214a858c990576ed1155c4e,seed,41,2.8,f4452eff1beda573eb99b671ca74fe68
b8230358858c51f3a2c0dbd0a4e8088d,cactus,37,2.2,d57a7fdecc9660e260d4b1443cc7d7bd
4eb55e6cbcd223b17fcc5723ebf988dd,flower,82,3,fcaaf9807a9589d798da67fdbe67b880
406ae153428202f1adc4ca1101cc0ec9,flower,238,4.4,be4d9731e59c30aed72c5b1328f1398c
7362e3ef474db10f59e36e82960a6cf4,plant,19,4.7,fcaaf9807a9589d798da67fdbe67b880
56a2f046f78d9372c0a84098df7a937d,flower,368,3,fd1c6916ad0c0510152808a4178fc2b2
46acb0732d9ce5b3b64c3e6592366003,plant,312,4.1,f2bf20b61eab265a3be68e29230528ba
39a4dd50c0681517446fca82fc9b41bf,plant,28,4.8,61f7402eea5a6274f289ce1978bfbec1
8015b000f82005c957ab01e066413217,equirement,94,4.2,2416cbbcc58d0f284922c20ccf3d6abc
3c3a76cc820c8f2aa2f14c84a9c52577,equirement,60,2.7,bb812449a7e9558d6ac237774711bba9
dd78a58c3e5bebcd0c1e902522d42089,plant,161,2.8,461d561d193233e5867f83dcb1a558f8
8f6774f591f10ee1352a49b6145e5ddd,flower,71,4.7,1193f1eba0c961043f50a4394c1408bf
4df4b2f6c3e3d608caf04a589fc34729,flower,48,4.4,f4452eff1beda573eb99b671ca74fe68
0167f6545f3af077199ca92a4d46b6f8,plant,113,4.3,a61cc3a3d5455af99e56c09f4f896b52
1c151a5e82d8296ce84fe67fbb388ff9,flower,31,2.9,8c4a14bb911a79db3d9edbf867521921
31a4d234bf739e5491acbfc3f1dedbf5,cactus,81,2.4,634defc978d9b048c033e01fb8503647
dfd982b9aadb080296aa138bc45ed795,equirement,124,3.7,f4452eff1beda573eb99b671ca74fe68
8c46b975404f3bf6f555fed62d6a53a0,material,1595,3,6534d225c5976c1e43911caa68ca80c1
d5a62384a00df61c7e03dc52f9c28431,equirement,233,2.5,380278b62c92fa725d3183d550da50b9
4baabe4af5f955257f31c6514689dacb,material,175,4.9,634defc978d9b048c033e01fb8503647
0c98b78006e4ed6c667b1185c20b172c,plant,50,4.1,4e03969e7219c07a1630c61384be500c
04ab8bdf188ff2b3398928678bf34a2a,material,423,1,5fc773ab234ce4ae839d7b1ce21b0b41
f949e36158528e43577dbcfea414ae2c,equirement,142,4.5,a3117f4c3fd808ca6afa166962729cf6
964c44dc14a41127e36c2df01816e9ed,equirement,173,4.6,f0952bec575fb48cbcfe5380b7987a2e
28dbfedd923a3fadd280329fcedeb002,plant,190,4.8,067e680220c54fc00abcd30d95d17766
635540ce4fde9a970c6bb9079cac3182,flower,66,1.7,f4452eff1beda573eb99b671ca74fe68
e378994cc48783ba8748f56f9dfceab4,flower,69,3.6,6048f07544a2017ba7d940dcc5a750e4
17dde0b0edcb44f7748014620f4558c8,equirement,243,4.4,9b815c4d3be9524a889a4bdd12bf28e7
bba12325bf630af694312b85b2d0bb15,flower,149,3,13d20c8b12cbffa48084529b2bff185f
3cb17539e72736fa0f155582f519a47e,cactus,230,4.5,6048f07544a2017ba7d940dcc5a750e4
9db40da6c455f2b8e3e4e43d617f60e1,seed,430,3.7,1b3922f6c0ce3471f4050790d748dffe
3479e4c3905586966cf8de0ea31b7c09,flower,81,2.8,8416e5f20415a908d7dfdfa919d31d8c
eeeefeb1b04bd0ea98b7be56a3089043,plant,1195,4.1,2c2571a144784e23e98c46c33ab58317
f86f0e6239e099725e343223bf0d149e,plant,345,2.8,4ab591a8cd878043861b697c087f0bae
8078d1ad2033183d11766d66d7757906,material,412,3.6,9b815c4d3be9524a889a4bdd12bf28e7
